date,Level1,Level2,Level3,Level4,Level5
2015-01-09,1.0,1.0,1.0,1.0,1.0
2015-01-16,1.0107136017120963,1.0065063895001072,1.0085272710645523,0.9925829763096314,0.9825449345080555
2015-01-23,0.9898257941940204,0.993766842429139,1.0052934551357808,0.9646401587939788,0.9426935793880648
2015-01-30,0.9837109114702658,0.9692567012790438,0.9803682492063752,0.9373811437727482,0.9010394885026963
2015-02-06,1.03991523923611,1.0046794600515785,1.02772136816517,0.9868699472700286,0.9501678718302065
2015-02-13,1.09028808033472,1.0591678470624337,1.0680935823643185,1.0198216621630936,0.9804936712982548
2015-02-27,1.0877669769245195,1.051864619402559,1.06975194068305,1.005330885058816,0.9617950422931595
2015-03-06,1.1277514428869733,1.0806300919578629,1.1051075423491987,1.059760987097181,1.0186023569474512
2015-03-13,1.2165413710480057,1.1580988045112253,1.1756199539459475,1.1471992097891117,1.0945360571025957
2015-03-20,1.27112044113707,1.1886192351757983,1.2194463086279783,1.1773656731926754,1.119014995124988
2015-03-27,1.3664102411138097,1.2686643841454754,1.297293800841675,1.2419089460799992,1.200775121254318
2015-04-03,1.4170144663108644,1.3094845636500738,1.3443136246063538,1.295355876791495,1.2484420084195185
2015-04-10,1.4272168535398189,1.3598605568456885,1.4313896581166563,1.3636694478761058,1.2634082750311362
2015-04-17,1.5076217674640986,1.3758516295798353,1.4965093197515988,1.4684489561079228,1.330714639928937
2015-04-24,1.4988640527012576,1.3263774977172174,1.4269758417197655,1.488368348644309,1.3256235149786753
2015-05-08,1.5960549735627576,1.3577785089583327,1.4612324603966682,1.5214462284885437,1.3717759698123806
2015-05-15,1.7678602739896203,1.4940681128387672,1.5788509751098214,1.6401833357460407,1.491876762697484
2015-05-22,1.797541879302952,1.4929823031611205,1.5837765203253786,1.6041090977044632,1.4637812717613474
2015-05-29,1.9780542327941937,1.5906444941271212,1.7070736548502277,1.76277599335399,1.6200168193836537
2015-06-05,2.056111543341199,1.605393357424981,1.762433690416422,1.8142634803668074,1.6682423513870825
2015-06-12,1.7942365723843532,1.3868629905992167,1.566268871584548,1.6659391272604904,1.4072525732159629
2015-06-19,1.7720351380043988,1.321074092909511,1.4528986802887667,1.5446296804065553,1.277852692305077
2015-06-26,1.5627771244468238,1.2218654506049405,1.2870702073441833,1.3041481705948896,1.0918428089825656
2015-07-03,1.6658763115923454,1.321911670409749,1.3860968761892363,1.3754751167551746,1.1199832453842575
2015-07-10,1.6260999648887362,1.3067950904198926,1.4681246559530323,1.3873528436538003,1.2571960719384567
2015-07-17,1.7654908769907038,1.338022731528705,1.5163658609743367,1.4031219957385315,1.2515939200725914
2015-07-24,1.5694471659029756,1.1953875530450098,1.3999904050033083,1.3061629332399096,1.127950700247694
2015-07-31,1.6157629873016102,1.232411848763638,1.4516742100910816,1.355231299315087,1.2074062419446216
2015-08-07,1.6969021988159458,1.3183393071616258,1.5340508575717686,1.4198130421989448,1.2761669557559578
2015-08-14,1.4311356214606177,1.1148969443092496,1.3531835467599604,1.279070643485235,1.1543060485938652
2015-08-21,1.3642974340497767,1.0408351086326308,1.2377778983398557,1.1869889002159126,1.0483054313534304
2015-08-28,1.3695230631865856,1.034836591606488,1.2173438280168507,1.1533130815203732,1.017946047835422
2015-09-11,1.3527208878731516,1.0111608717148803,1.1845578863944748,1.0945076451642952,0.954830433932986
2015-09-18,1.3415259268142445,1.0004561450720566,1.1853043762962883,1.0872593141539943,0.9740804368340248
2015-09-25,1.4408468173652078,1.0584656682839555,1.2336593807652572,1.1370640995950863,1.0282011944530012
2015-10-09,1.5680831974301286,1.1568969509662113,1.3244646511107805,1.2139286181338091,1.0679942120402262
2015-10-16,1.594573562708987,1.1759095643164355,1.3297652360972476,1.2338346524919104,1.0691658893617286
2015-10-23,1.5689030678516058,1.172565440732383,1.3463110566941205,1.2283448954761593,1.0792247659221859
2015-10-30,1.7060605997525848,1.258301827096425,1.4431332340254681,1.3217888819877117,1.1595541255782118
2015-11-06,1.7209917076252745,1.254474819791122,1.4335577352038162,1.3263416836015565,1.1730470727471183
2015-11-13,1.7790058759860556,1.2999922692534331,1.462837190407171,1.349936287000477,1.1889987710144907
2015-11-20,1.6752554668017179,1.2278166157619983,1.3754234846573992,1.299883382140225,1.1150179163713996
2015-11-27,1.705791702100516,1.2702380499412103,1.4124729650224574,1.348311719769374,1.1351799483185643
2015-12-04,1.6886210252593121,1.2426697347929732,1.3762609073700747,1.3327546167282678,1.0981885433635772
2015-12-11,1.7729462448224942,1.2707513910942603,1.4388248376297197,1.4057323314865715,1.1609789860802902
2015-12-18,1.815596010462255,1.2965236781780083,1.4756207377797044,1.4237103306268728,1.20447655715367
2015-12-25,1.5993361990449217,1.132451884102011,1.314953604511112,1.2936616026994985,0.9949322616178315
2016-01-08,1.463206840705727,1.0562474772493415,1.2000858125094382,1.1969211998583553,0.9074816716369304
2016-01-15,1.4310900795736918,1.04504349208908,1.208228971102921,1.2119752148167189,0.9420179982100769
2016-01-22,1.3209869076075167,0.9770431593559074,1.1431819633444096,1.1252203701414183,0.8902849961908609
2016-01-29,1.3221327496146014,0.9861419084510418,1.1723244406763849,1.156111432137795,0.9440753553076218
2016-02-05,1.4081688193461634,1.0278129757299521,1.2235757225244952,1.1906933456467959,0.9769086019337222
2016-02-19,1.3289371944564643,0.9861353395864844,1.1655416482009742,1.1521688858297612,0.9649039130659144
2016-02-26,1.3983359137690317,1.0242178355778364,1.232766374010936,1.180401626022157,0.9334169071279093
