date,Level1,Level2,Level3,Level4,Level5
2015-01-09,0.0,0.0,0.0,0.0,0.0
2015-01-16,0.01071360171209629,0.006506389500107139,0.008527271064552379,-0.007417023690368585,-0.017455065491944477
2015-01-23,-0.020666395982692938,-0.01265719443400195,-0.0032064734604131755,-0.028151618738760247,-0.04055932071945762
2015-01-30,-0.00617773628412428,-0.02466387496908549,-0.02479396021337782,-0.028258221236933223,-0.044186246513323604
2015-02-06,0.057135004919118375,0.03654631298993369,0.04830135920571463,0.052794750380938164,0.05452411792645099
2015-02-13,0.0484393719776742,0.05423459837434912,0.03928322933600817,0.033390129048127284,0.0319162543452822
2015-02-27,-0.002312327774349738,-0.00689525053099938,0.0015526339134636026,-0.014209128558361664,-0.019070626922391764
2015-03-06,0.03675830100625338,0.027347124358686296,0.03305028046368736,0.054141480031403184,0.059063846408325175
2015-03-13,0.0787318240389352,0.07168846502599817,0.06380592738228524,0.08250749344098353,0.07454695116031601
2015-03-20,0.0448641298914861,0.02635390913597739,0.03727935591338701,0.026295749810627142,0.022364670276090994
2015-03-27,0.07496520148122172,0.06734296955731028,0.06383839260728455,0.05482007362445104,0.07306437043785825
2015-04-03,0.03703443056442953,0.032175711728593535,0.03624454517101107,0.04303611056204822,0.0396967644661125
2015-04-10,0.007199917482505155,0.038470093190862906,0.06477360038346726,0.05273729969390245,0.01198795499565456
2015-04-17,0.05633685849831257,0.011759347422532363,0.04549401434171546,0.07683644184813951,0.053273645762801296
2015-04-24,-0.005808960146265302,-0.035958915045023104,-0.046463778817879324,0.013564919947358428,-0.003825857774085612
2015-05-08,0.06484305276808941,0.023674264148146835,0.02400644613269502,0.022224256431120765,0.03481565792414872
2015-05-15,0.10764372360142083,0.1003769046138415,0.08049267854426415,0.0780422633637565,0.08755131707222545
2015-05-22,0.016789565187947747,-0.0007267471063174032,0.0031197024248692633,-0.021994027896380955,-0.01883231352523837
2015-05-29,0.10042177908046317,0.06541416516406032,0.07785008360871422,0.09891278334907823,0.10673421680980393
2015-06-05,0.039461663514018974,0.009272256215838715,0.03242978731989825,0.029208184821517536,0.02976853784874689
2015-06-12,-0.12736418498545904,-0.1361226305161014,-0.11130337549637098,-0.08175458234783455,-0.15644596119629514
2015-06-19,-0.012373749772835629,-0.0474372004557426,-0.07238233061548882,-0.07281745465299158,-0.09195213664820044
2015-06-26,-0.11808908811663506,-0.07509695545241911,-0.11413629538958951,-0.1556887795580683,-0.1455644179040499
2015-07-03,0.06597177904175915,0.0818798990963172,0.07693960149181797,0.054692363773166316,0.025773340420600307
2015-07-10,-0.02387713086909101,-0.011435393398993786,0.05917896589545256,0.008635362976718953,0.1225132850153687
2015-07-17,0.08572099816231482,0.023896356313045545,0.032859066037542024,0.011366360156224359,-0.004456068540865988
2015-07-24,-0.1110420414190339,-0.1066014613374565,-0.07674629122568859,-0.06910237512710901,-0.09878860694507537
2015-07-31,0.02951091467420426,0.030972629440816947,0.03691725664909183,0.03756680336461878,0.07044238873159918
2015-08-07,0.050217273295659136,0.06972300573399276,0.0567459605661235,0.047653668356461676,0.056949112421840406
2015-08-14,-0.15661867698726126,-0.15431714866363658,-0.11790176963109353,-0.09912741644895309,-0.09548978416378633
2015-08-21,-0.04670290251222034,-0.06642931084765405,-0.08528454894122094,-0.07199113179426607,-0.09183060018576618
2015-08-28,0.0038302711757633536,-0.005763177064639141,-0.016508672800194493,-0.028370794949652712,-0.028960437111169326
2015-09-11,-0.012268632610201514,-0.022878703829803046,-0.026932359509134515,-0.0509882678852102,-0.062002906771578194
2015-09-18,-0.008275883930873947,-0.010586571278879669,0.0006301844007687206,-0.006622458090928135,0.02016065074690531
2015-09-25,0.0740357592542568,0.05798307451819468,0.040795432326052414,0.045807642015782975,0.05556087112772815
2015-10-09,0.08830666697629279,0.09299430830084282,0.0736064360724882,0.0675991077073796,0.0387015866173884
2015-10-16,0.016893469251040117,0.016434145957723786,0.004002058478511919,0.016398027083917802,0.0010970820892972786
2015-10-23,-0.0160986582605634,-0.002843861199476178,0.012442662921038397,-0.0044493457892949085,0.009408153272138472
2015-10-30,0.08742256593888688,0.07311863661143833,0.07191664723388334,0.0760730857071943,0.07443246503649802
2015-11-06,0.008751803936422286,-0.003041406459795079,-0.006635214681420698,0.0034444242010858547,0.011636323713805366
2015-11-13,0.03370973149012575,0.03628406783795799,0.020424329264417163,0.017789234622297,0.013598515045108811
2015-11-20,-0.0583193178756824,-0.05552006361767376,-0.05975627795287383,-0.03707797571059319,-0.06222113634311683
2015-11-27,0.01822780817847184,0.03455030143315391,0.026936780401337245,0.03725590948736724,0.018082249308403745
2015-12-04,-0.010066104097035936,-0.02170326668258208,-0.025637345668989193,-0.0115382094607671,-0.032586379815622145
2015-12-11,0.04993732655332328,0.02259784359032896,0.04545935289203236,0.05475705268045085,0.05717637749561262
2015-12-18,0.024055870709171423,0.020281140169797544,0.025573578650894824,0.012789062851879753,0.03746628629363633
2015-12-25,-0.11911229710307247,-0.12654747216538748,-0.10888104860219051,-0.09134493522296255,-0.17397125273323547
2016-01-08,-0.08511616158034015,-0.06729151844989562,-0.0873550151181042,-0.07478030007172959,-0.0878960240355461
2016-01-15,-0.02194957010763061,-0.010607348563272945,0.006785480261994881,0.01257728157889191,0.03805732683377421
2016-01-22,-0.07693657690574855,-0.0650693806027514,-0.05383665622513081,-0.07158136867379762,-0.0549172118977701
2016-01-29,0.0008674135984890525,0.009312535488332514,0.025492422262085142,0.027453344088051192,0.060419258267752844
